Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:21:00:714,1,9,1,Human,1,0,0,False,False,0,0,263
2,13:21:00:724,1,9,1,Human,1,0,0,False,False,0,0,264
2,13:21:00:734,1,9,1,Human,1,0,0,False,False,0,0,265
2,13:21:00:746,1,9,1,Human,1,0,0,False,False,0,0,266
2,13:21:00:757,1,9,1,Human,1,0,0,False,False,0,0,267
2,13:21:00:768,1,9,1,Human,1,0,0,False,False,0,0,268
2,13:21:00:779,1,9,1,Human,1,0,0,False,False,0,0,269
2,13:21:00:791,1,9,1,Human,1,0,0,False,False,0,0,270
2,13:21:00:802,1,9,1,Human,1,0,0,False,False,0,0,271
2,13:21:00:813,1,9,1,Human,1,0,0,False,False,0,0,272
2,13:21:00:828,1,9,1,Human,1,0,0,False,False,0,0,273
2,13:21:00:836,1,9,1,Human,1,0,0,False,False,0,0,274
2,13:21:00:847,1,9,1,Human,1,0,0,False,False,0,0,275
2,13:21:00:858,1,9,1,Human,1,0,0,False,False,0,0,276
2,13:21:00:869,1,9,1,Human,1,0,0,False,False,0,0,277
2,13:21:00:880,1,9,1,Human,1,0,0,False,False,0,0,278
2,13:21:00:891,1,9,1,Human,1,0,0,False,False,0,0,279
2,13:21:00:902,1,9,1,Human,1,0,0,False,False,0,0,280
2,13:21:00:913,1,9,1,Human,1,0,0,False,False,0,0,281
2,13:21:00:924,1,9,1,Human,1,0,0,False,False,0,0,282
2,13:21:00:935,1,9,1,Human,1,0,0,False,False,0,0,283
2,13:21:00:946,1,9,1,Human,1,0,0,False,False,0,0,284
2,13:21:00:958,1,9,1,Human,1,0,0,False,False,0,0,285
2,13:21:00:968,1,9,1,Human,1,0,0,False,False,0,0,286
2,13:21:00:979,1,9,1,Human,1,0,0,False,False,0,0,287
2,13:21:00:991,1,9,1,Human,1,0,0,False,False,0,0,288
2,13:21:01:002,1,9,1,Human,1,0,0,False,False,0,0,289
2,13:21:01:013,1,9,1,Human,1,0,0,False,False,0,0,290
2,13:21:01:024,1,9,1,Human,1,0,0,False,False,0,0,291
2,13:21:01:036,1,9,1,Human,1,0,0,False,False,0,0,292
2,13:21:01:047,1,9,1,Human,1,0,0,False,False,0,0,293
2,13:21:01:058,1,9,1,Human,1,0,0,False,False,0,0,294
2,13:21:01:069,1,9,1,Human,1,0,0,False,False,0,0,295
2,13:21:01:081,1,9,1,Human,1,0,0,False,False,0,0,296
2,13:21:01:093,1,9,1,Human,1,0,0,False,False,0,0,297
2,13:21:01:104,1,9,1,Human,1,0,0,False,False,0,0,298
2,13:21:01:114,1,9,1,Human,1,0,0,False,False,0,0,299
2,13:21:01:126,1,9,1,Human,1,0,0,False,False,0,0,300
2,13:21:01:136,1,9,1,Human,1,0,0,False,False,0,0,301
2,13:21:01:147,1,9,1,Human,1,0,0,False,False,0,0,302
2,13:21:01:159,1,9,1,Human,1,0,0,False,False,0,0,303
2,13:21:01:169,1,9,1,Human,1,0,0,False,False,0,0,304
2,13:21:01:180,1,9,1,Human,1,0,0,False,False,0,0,305
2,13:21:01:192,1,9,1,Human,1,0,0,False,False,0,0,306
2,13:21:01:203,1,9,1,Human,1,0,0,False,False,0,0,307
2,13:21:01:214,1,9,1,Human,1,0,0,False,False,0,0,308
2,13:21:01:225,1,9,1,Human,1,0,0,False,False,0,0,309
2,13:21:01:236,1,9,1,Human,1,0,0,False,False,0,0,310
2,13:21:01:248,1,9,1,Human,1,0,0,False,False,0,0,311
2,13:21:01:259,1,9,1,Human,1,0,0,False,False,0,0,312
2,13:21:01:271,1,9,1,Human,1,0,0,False,False,0,0,313
2,13:21:01:282,1,9,1,Human,1,0,0,False,False,0,0,314
2,13:21:01:293,1,9,1,Human,1,0,0,False,False,0,0,315
2,13:21:01:304,1,9,1,Human,1,0,0,False,False,0,0,316
2,13:21:01:315,1,9,1,Human,1,0,0,False,False,0,0,317
2,13:21:01:326,1,9,1,Human,1,0,0,False,False,0,0,318
2,13:21:01:337,1,9,1,Human,1,0,0,False,False,0,0,319
2,13:21:01:349,1,9,1,Human,1,0,0,False,False,0,0,320
2,13:21:01:359,1,9,1,Human,1,0,0,False,False,0,0,321
2,13:21:01:371,1,9,1,Human,1,0,0,False,False,0,0,322
2,13:21:01:382,1,9,1,Human,1,0,0,False,False,0,0,323
2,13:21:01:392,1,9,1,Human,1,0,0,False,False,0,0,324
